,Country,Family,Freedom,GDP per Capita,Generosity,Happiness Rank,Happiness Score,Life Expectancy,Region,Trust (Government Corruption),Year
0,Switzerland,1.34951,0.66557,1.3965100000000001,0.29678000000000004,1,7.587000000000001,0.9414299999999999,Western Europe,0.41978000000000004,2015
1,Iceland,1.4022299999999999,0.6287699999999999,1.3023200000000001,0.4363,2,7.561,0.94784,Western Europe,0.14145,2015
2,Denmark,1.36058,0.6493800000000001,1.32548,0.34139,3,7.527,0.87464,Western Europe,0.48357,2015
3,Norway,1.33095,0.66973,1.459,0.34699,4,7.522,0.88521,Western Europe,0.36503,2015
4,Canada,1.32261,0.63297,1.32629,0.45811,5,7.4270000000000005,0.9056299999999999,North America,0.32957,2015
5,Finland,1.31826,0.64169,1.29025,0.23351,6,7.406000000000001,0.8891100000000001,Western Europe,0.41372,2015
6,Netherlands,1.28017,0.6157600000000001,1.32944,0.4761,7,7.377999999999999,0.89284,Western Europe,0.31814000000000003,2015
7,Sweden,1.2890700000000002,0.6598,1.33171,0.36262,8,7.364,0.9108700000000001,Western Europe,0.43843999999999994,2015
8,New Zealand,1.3196700000000001,0.6393800000000001,1.2501799999999998,0.47501000000000004,9,7.2860000000000005,0.9083700000000001,Australia and New Zealand,0.42922,2015
9,Australia,1.30923,0.6512399999999999,1.33358,0.43562,10,7.284,0.93156,Australia and New Zealand,0.35636999999999996,2015
10,Israel,1.22393,0.41318999999999995,1.2285700000000002,0.33171999999999996,11,7.278,0.9138700000000001,Middle East and Northern Africa,0.07785,2015
11,Costa Rica,1.2378799999999999,0.63376,0.95578,0.25497,12,7.226,0.8602700000000001,Latin America and Caribbean,0.10583,2015
12,Austria,1.29704,0.62433,1.33723,0.33088,13,7.2,0.8904200000000001,Western Europe,0.18675999999999998,2015
13,Mexico,0.91451,0.48181,1.02054,0.14074,14,7.187,0.8144399999999999,Latin America and Caribbean,0.21311999999999998,2015
14,United States,1.24711,0.54604,1.3945100000000001,0.40105,15,7.119,0.86179,North America,0.1589,2015
15,Brazil,1.2328700000000001,0.49049,0.98124,0.14574,16,6.983,0.69702,Latin America and Caribbean,0.17521,2015
16,Luxembourg,1.21963,0.61583,1.5639100000000001,0.28034000000000003,17,6.946000000000001,0.91894,Western Europe,0.37798000000000004,2015
17,Ireland,1.36948,0.6177699999999999,1.33596,0.45901000000000003,18,6.94,0.89533,Western Europe,0.28703,2015
18,Belgium,1.28566,0.5845,1.30782,0.2225,19,6.937,0.8966700000000001,Western Europe,0.2254,2015
19,United Arab Emirates,1.12575,0.64157,1.42727,0.26428,20,6.901,0.80925,Middle East and Northern Africa,0.38583,2015
20,United Kingdom,1.28548,0.59625,1.26637,0.51912,21,6.867000000000001,0.90943,Western Europe,0.32066999999999996,2015
21,Oman,1.08182,0.63274,1.36011,0.21541999999999997,22,6.853,0.76276,Middle East and Northern Africa,0.32524000000000003,2015
22,Venezuela,1.25596,0.42908,1.04424,0.058410000000000004,23,6.81,0.7205199999999999,Latin America and Caribbean,0.11069000000000001,2015
23,Singapore,1.02,0.54252,1.52186,0.31105,24,6.797999999999999,1.02525,Southeastern Asia,0.4921,2015
24,Panama,1.1985,0.5421,1.0635299999999999,0.24434,25,6.7860000000000005,0.79661,Latin America and Caribbean,0.0927,2015
25,Germany,1.2993700000000001,0.6147699999999999,1.32792,0.28214,26,6.75,0.89186,Western Europe,0.21843,2015
26,Chile,1.12447,0.44132,1.10715,0.33363000000000004,27,6.67,0.85857,Latin America and Caribbean,0.12869,2015
27,Qatar,1.0786,0.6404,1.69042,0.32573,28,6.611000000000001,0.79733,Middle East and Northern Africa,0.52208,2015
28,France,1.2603799999999998,0.55011,1.27778,0.12332,29,6.575,0.9457899999999999,Western Europe,0.20646,2015
29,Argentina,1.24823,0.44974,1.05351,0.11450999999999999,30,6.574,0.78723,Latin America and Caribbean,0.08484,2015
30,Czech Republic,1.20643,0.46363999999999994,1.17898,0.10686,31,6.505,0.84483,Central and Eastern Europe,0.02652,2015
31,Uruguay,1.2089,0.6036199999999999,1.06166,0.2324,32,6.485,0.8116,Latin America and Caribbean,0.24558000000000002,2015
32,Colombia,1.2401799999999998,0.53466,0.91861,0.18400999999999998,33,6.477,0.69077,Latin America and Caribbean,0.0512,2015
33,Thailand,1.26504,0.5566399999999999,0.9669,0.5763,34,6.455,0.7385,Southeastern Asia,0.031869999999999996,2015
34,Saudi Arabia,1.0839299999999998,0.31048000000000003,1.39541,0.13706,35,6.4110000000000005,0.72025,Middle East and Northern Africa,0.32524000000000003,2015
35,Spain,1.31379,0.45951000000000003,1.23011,0.18227000000000002,36,6.329,0.95562,Western Europe,0.06398,2015
36,Malta,1.30203,0.60365,1.2074,0.51752,37,6.3020000000000005,0.88721,Western Europe,0.13585999999999998,2015
37,Taiwan,1.07617,0.3974,1.29098,0.25376,38,6.297999999999999,0.8753,Eastern Asia,0.08129,2015
38,Kuwait,1.16594,0.55499,1.5542200000000002,0.16228,39,6.295,0.72492,Middle East and Northern Africa,0.25609,2015
39,Suriname,0.972,0.5965699999999999,0.99534,0.16990999999999998,40,6.269,0.6082,Latin America and Caribbean,0.13633,2015
40,Trinidad and Tobago,1.18354,0.55884,1.21183,0.31844,41,6.167999999999999,0.61483,Latin America and Caribbean,0.0114,2015
41,El Salvador,1.0250700000000001,0.4035,0.76454,0.10692,42,6.13,0.67737,Latin America and Caribbean,0.11775999999999999,2015
42,Guatemala,1.04356,0.57733,0.74553,0.27489,43,6.122999999999999,0.64425,Latin America and Caribbean,0.09472,2015
43,Uzbekistan,1.34043,0.6582100000000001,0.63244,0.22837,44,6.002999999999999,0.59772,Central and Eastern Europe,0.30826,2015
44,Slovakia,1.26999,0.31751,1.1689100000000001,0.16893,45,5.995,0.7890199999999999,Central and Eastern Europe,0.03431,2015
45,Japan,1.25712,0.49615,1.27074,0.10705,46,5.987,0.99111,Eastern Asia,0.1806,2015
46,South Korea,0.9577399999999999,0.33208000000000004,1.24461,0.18557,47,5.984,0.9653799999999999,Eastern Asia,0.07857,2015
47,Ecuador,0.99903,0.48573999999999995,0.8640200000000001,0.11540999999999998,48,5.975,0.79075,Latin America and Caribbean,0.1809,2015
48,Bahrain,1.21624,0.45492,1.32376,0.17362,49,5.96,0.74716,Middle East and Northern Africa,0.306,2015
49,Italy,1.19777,0.26236,1.25114,0.22823000000000002,50,5.9479999999999995,0.9544600000000001,Western Europe,0.02901,2015
50,Bolivia,0.97841,0.57414,0.68133,0.20536,51,5.89,0.5392,Latin America and Caribbean,0.08800000000000001,2015
51,Moldova,1.01528,0.32818,0.59448,0.20951,52,5.888999999999999,0.61826,Central and Eastern Europe,0.01615,2015
52,Paraguay,1.30477,0.53899,0.75985,0.3424,53,5.877999999999999,0.66098,Latin America and Caribbean,0.08242000000000001,2015
53,Kazakhstan,1.1224100000000001,0.51649,1.1225399999999999,0.11827,54,5.855,0.64368,Central and Eastern Europe,0.08454,2015
54,Slovenia,1.27385,0.60855,1.18498,0.25328,55,5.848,0.8733700000000001,Central and Eastern Europe,0.03787,2015
55,Lithuania,1.25745,0.21341999999999997,1.14723,0.026410000000000003,56,5.832999999999999,0.73128,Central and Eastern Europe,0.01031,2015
56,Nicaragua,1.14184,0.55475,0.59325,0.27815,57,5.827999999999999,0.7431399999999999,Latin America and Caribbean,0.19317,2015
57,Peru,0.97459,0.41496000000000005,0.9001899999999999,0.14982,58,5.824,0.73017,Latin America and Caribbean,0.05989,2015
58,Belarus,1.23289,0.37938,1.0319200000000002,0.11045999999999999,59,5.813,0.7360800000000001,Central and Eastern Europe,0.1909,2015
59,Poland,1.27948,0.53122,1.12555,0.16759000000000002,60,5.791,0.77903,Central and Eastern Europe,0.04212,2015
60,Malaysia,1.07023,0.5302399999999999,1.12486,0.33075,61,5.77,0.7239399999999999,Southeastern Asia,0.10500999999999999,2015
61,Croatia,0.79624,0.25883,1.08254,0.054439999999999995,62,5.7589999999999995,0.78805,Central and Eastern Europe,0.0243,2015
